STATE,Date,REGION,Day,PMS,AGO,DPK,LPG,Day,PMS,AGO,DPK,LPG,PMS Hourly, AGO Hourly, DPK Hourly, LPG Hourly, PMS DoD, AGO DoD, DPK DoD, LPG DoD
Delta,9-May,South-South,Morning,₦862.33,"₦1,007.29","₦1,010.00",₦905.00,Afternoon,,,,,-₦862.33,"-₦1,007.29","-₦1,010.00",-₦905.00,-₦862.33,"-₦1,007.29","-₦1,010.00",-₦910.00
Edo,9-May,South-South,Morning,₦0.00,₦0.00,₦0.00,₦0.00,Afternoon,,,,,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,9-May,South-West,Morning,₦837.77,"₦1,021.96","₦1,025.83",₦877.86,Afternoon,,,,,-₦837.77,"-₦1,021.96","-₦1,025.83",-₦877.86,-₦838.45,"-₦1,023.00","-₦1,025.83",-₦883.33
Rivers,9-May,South-South,Morning,₦867.57,"₦1,100.00",₦0.00,₦870.00,Afternoon,,,,,-₦867.57,"-₦1,100.00",₦0.00,-₦870.00,-₦869.57,"-₦1,017.50",₦0.00,-₦953.00
Cross River,13-May,South-South,Morning,₦852.00,"₦1,012.50",₦0.00,₦0.00,Afternoon,,,,,-₦852.00,"-₦1,012.50",₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Delta,13-May,South-South,Morning,₦853.86,"₦1,013.00","₦1,010.00",₦900.00,Afternoon,,,,,-₦853.86,"-₦1,013.00","-₦1,010.00",-₦900.00,₦0.00,₦0.00,₦0.00,₦0.00
Edo,13-May,South-South,Morning,₦0.00,₦0.00,₦0.00,₦0.00,Afternoon,,,,,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,13-May,South-West,Morning,₦822.82,"₦1,012.85","₦1,025.00",₦854.29,Afternoon,,,,,-₦822.82,"-₦1,012.85","-₦1,025.00",-₦854.29,₦0.00,₦0.00,₦0.00,₦0.00
Rivers,13-May,South-South,Morning,₦857.57,"₦1,056.67",₦0.00,₦870.00,Afternoon,,,,,-₦857.57,"-₦1,056.67",₦0.00,-₦870.00,₦0.00,₦0.00,₦0.00,₦0.00
Cross River,14-May,South-South,Morning,₦852.00,"₦1,012.50",₦0.00,₦0.00,Afternoon,₦841.25,"₦1,012.50",₦0.00,₦0.00,-₦10.75,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Delta,14-May,South-South,Morning,₦853.86,"₦1,013.00","₦1,010.00",₦900.00,Afternoon,₦853.57,"₦1,032.29","₦1,010.00",₦900.00,-₦0.29,₦19.29,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Edo,14-May,South-South,Morning,₦0.00,₦0.00,₦0.00,₦0.00,Afternoon,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,14-May,South-West,Morning,₦822.82,"₦1,012.85","₦1,025.00",₦854.29,Afternoon,₦822.32,"₦1,008.81","₦1,025.00",₦855.00,-₦0.50,-₦4.04,₦0.00,₦0.71,₦0.00,₦0.00,₦0.00,₦0.00
Rivers,14-May,South-South,Morning,₦857.57,"₦1,056.67",₦0.00,₦870.00,Afternoon,₦857.71,"₦1,041.25",₦0.00,₦870.00,₦0.14,-₦15.42,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Cross River,15-May,South-South,Morning,₦840.00,"₦1,012.50",₦0.00,₦0.00,Afternoon,₦840.00,"₦1,012.50",₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,-₦12.00,₦0.00,₦0.00,₦0.00
Delta,15-May,South-South,Morning,₦853.57,"₦1,032.29","₦1,010.00",₦900.00,Afternoon,₦853.57,"₦1,032.29","₦1,010.00",₦900.00,₦0.00,₦0.00,₦0.00,₦0.00,-₦0.29,₦19.29,₦0.00,₦0.00
Edo,15-May,South-South,Morning,₦0.00,₦0.00,₦0.00,₦0.00,Afternoon,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,15-May,South-West,Morning,₦823.36,"₦1,009.11","₦1,025.00",₦855.00,Afternoon,₦822.68,"₦1,015.00","₦1,025.00",₦855.00,-₦0.68,₦5.89,₦0.00,₦0.00,₦0.54,-₦3.74,₦0.00,₦0.71
Rivers,15-May,South-South,Morning,₦857.71,"₦1,041.25",₦0.00,₦870.00,Afternoon,₦857.71,"₦1,041.25",₦0.00,₦870.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.14,-₦15.42,₦0.00,₦0.00
Cross River,16-May,South-South,Morning,₦840.00,"₦1,012.50",₦0.00,₦0.00,Afternoon,₦852.43,"₦1,100.00",₦0.00,₦0.00,₦12.43,₦87.50,₦0.00,₦0.00,₦12.43,₦87.50,₦0.00,₦0.00
Delta,16-May,South-South,Morning,₦853.57,"₦1,032.29","₦1,010.00",₦900.00,Afternoon,₦851.00,"₦1,041.57","₦1,010.00",₦900.00,-₦2.57,₦9.28,₦0.00,₦0.00,-₦2.57,₦9.28,₦0.00,₦0.00
Edo,16-May,South-South,Morning,₦0.00,₦0.00,₦0.00,₦0.00,Afternoon,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00,₦0.00
Lagos,16-May,South-West,Morning,₦822.68,"₦1,015.00","₦1,025.00",₦855.00,Afternoon,₦821.09,"₦1,015.00","₦1,025.00",₦855.00,-₦1.59,₦0.00,₦0.00,₦0.00,-₦1.59,₦0.00,₦0.00,₦0.00
Rivers,16-May,South-South,Morning,₦857.71,"₦1,041.25",₦0.00,₦870.00,Afternoon,₦855.14,"₦1,037.50",₦0.00,₦870.00,-₦2.57,-₦3.75,₦0.00,₦0.00,-₦2.57,-₦3.75,₦0.00,₦0.00
Cross River,,,Morning,,,,,Afternoon,,,,,,,,,,,,
Delta,,,Morning,,,,,Afternoon,,,,,,,,,,,,
Edo,,,Morning,,,,,Afternoon,,,,,,,,,,,,
Lagos,,,Morning,,,,,Afternoon,,,,,,,,,,,,
Rivers,,,Morning,,,,,,,,,,,,,,,,,
,,,Morning,,,,,,,,,,,,,,,,,
,,,Morning,,,,,,,,,,,,,,,,,
,,,Morning,,,,,,,,,,,,,,,,,
,,,Morning,,,,,,,,,,,,,,,,,
,,,Morning,,,,,,,,,,,,,,,,,
,,,Morning,,,,,,,,,,,,,,,,,
